name,price,description,teacher
"Основи фейду: від нуля до скін-фейду",1500,"Повний курс для початківців. Вивчиш техніку роботи машинкою — від базового тейпера до чистого скін-фейду. Розбираємо вибір насадок і переходи між ними.",1
"Класична стрижка ножицями",1200,"Техніки роботи з прямими і філіровочними ножицями. Чоловічі класичні форми і текстурування — від простого до складного.",2
"Робота з бородою: від скульптури до гоління",1800,"Моделювання бороди під форму обличчя. Пряме гоління небезпечною бритвою і гарячий рушник — повний цикл догляду.",3
"Лінійка і контури: чіткість та акуратність",900,"Техніки відбивання лінійки вздовж скронь і шиї. Вирівнювання контурів тримером і бритвою.",4
"Дитячі стрижки в барбершопі",800,"Як працювати з дітьми — психологія і техніка. Швидкі та охайні стрижки для хлопчиків без сліз і стресу.",5
"Камуфляж залисини і робота з рідким волоссям",1100,"Техніки маскування залисин за допомогою фейду і правильного укладання. Як зробити стрижку об'ємнішою.",6
"Укладання і стайлінг у барбершопі",700,"Помади і глини — яку обрати та як правильно наносити. Класичний помп і слік-бек для клієнта.",7
"Відкриття барбершопу: бізнес від А до Я",3500,"Бізнес-план і стартові витрати. Підбір приміщення і обладнання. Ціноутворення і перший маркетинг.",8
"Анатомія голови і правила пропорцій",600,"Форми черепа і підбір стрижки під тип обличчя. Базова анатомія для барбера — що впливає на фінальний результат.",9
"Дезінфекція і санітарія в барбершопі",500,"Норми санітарії для барбершопу. Стерилізація інструментів і робоче місце — як дотримуватись стандартів.",10
"Колорування і сиве волосся у чоловіків",2200,"Тонування і фарбування для чоловіків — відтінки і техніки. Як працювати з сивиною: маскування чи акцент.",2
"Просунутий скін-фейд і мультиплексний фейд",2800,"Складні техніки переходів для досвідчених барберів. Burst fade і temple fade — детальний розбір.",1
